"";"latitude";"longitude";"suptotculm";"ratiosuplo";"ratio_irr_";"nb_boeufs_";"rev_boeuf_";"rev_volail";"rev_mouton";"revenu_ele";"revenu_ag_";"rev_ag_csf";"rev_ag_csc";"rev_transf";"personne_m";"rev_non_ag";"rev_tot_me";"part_rev_e";"part_rev_t";"part_rev_n";"part_rev_a";"montan_glo";"cout_iriga";"cout_iri_1";"cout_irrig";"cout_irr_1";"main_oeuvr";"main_oeu_1";"mo_tot";"part_mo_fa";"rendement_";"rendemen_1";"mo_tot_ha";"quantite_n";"quantite_u";"cout_npk_t";"cout_uree_";"cout_engra";"quantite_1";"quantite_2";"cout_semen";"cout_ure_1";"cout_npk_1";"cout_eng_1";"cout_intra";"cout_int_1";"cout_sem_1";"part_cout_";"part_cou_1";"dist_dakar";"dist_route";"pourc_urba";"travailleu";"membre_act";"taille_men";"membre_hor";"log_trav_h";"surf_score";"y_hat";"y_mean";"sse_i";"sst_i";"ss_bis";"credit";"capital";"sup_Autre";"sup_Carrasol";"sup_Carrotte";"sup_Chou";"sup_Gombo";"sup_Mangue";"sup_Manioc";"sup_Navet";"sup_Oignon";"sup_Pasteque";"sup_Piment";"sup_Tomate";"sup_bissap";"sup_citronelle";"sup_laitue";"sup_menthe";"sup_persil"
"taille_men";-0,00168816790404716;0,0239657529852659;0,323684818838851;NA;NA;0,0689889595074461;0,0546140171086734;-0,0418405990359247;-0,0142718420066807;0,0237957278790485;-0,0157471290550292;-0,0181582926660764;-0,0101161952588805;0,0972915787192982;0,352488119422212;0,0056725209396861;-0,0153145986912808;-0,0519920974387154;0,00870340084922135;-0,065801889012513;0,0331366101944789;0,00424212888892271;0,0632657584583882;0,0415418393213458;0,0679276739611326;-0,00130353813844379;0,411198399219769;0,0716913469555543;0,388962584503668;0,178505353252967;NA;NA;0,046105649071509;0,193790696145871;0,265242418980608;0,203580140724735;0,258711885762337;0,44880210554543;0,0166776014040353;0,0826315348978996;0,17366050309001;0,0710639158865077;0,0150633984874754;0,284236694317208;0,449749755707939;0,282827866472422;-0,04980359813294;-0,120668749249161;0,120668743628578;NA;NA;NA;0,411198399219769;0,755444686117305;1;0,959737238224337;0,00181306499759478;0,310826888274734;NA;NA;NA;0,0737157804787526;NA;0,00424212888892271;NA;0,275624180733552;NA;0,0119850706584351;0,345976187412998;-0,0533269789794492;-0,0586391250748096;0,0261912142619104;0,136338150008277;0,0286475990793699;NA;-0,053859734252181;-0,0311277067973658;NA;-0,0121277951149251;-0,0121277951149251;-0,0188560064254004;NA
"membre_hor";-0,00926817202779737;0,0123704272976353;0,283653888439941;NA;NA;0,0429578607945844;0,0331784882209103;-0,0306072144652489;0,0280822000314131;0,0276231158078767;-0,0196128732544581;-0,0218591605058967;-0,0143354510608293;0,110987491042084;0,297720013414065;0,0381452155048838;-0,019073539677958;-0,0362913816627149;0,0268410072060751;-0,0381776608506051;0,00339941802298157;0,0140131224361273;0,0228608228032149;0,0444265621939905;0,0426000212665034;-0,0242169674389225;0,138589791410636;0,174397015469668;0,267917899914085;-0,0342006385156448;NA;NA;0,0220380972374564;0,182637168402131;0,262580675742449;0,190898041433749;0,256536746960095;0,413006334918591;0,0311879747692793;0,0645508349342099;0,169940856070309;0,0543892086037594;0,0257610154081558;0,263520361055979;0,414309356018364;0,263186245016985;-0,0308305056476258;-0,0956620053008179;0,0956619994128068;NA;NA;NA;0,138589791410636;0,698457062648481;0,959737238224337;1;-0,0446981041707856;0,296547604434384;NA;NA;NA;0,0591352959461147;NA;0,0140131224361273;NA;0,260981022090014;NA;-0,0106557306532902;0,303816996919302;-0,0577680845412453;-0,051380953235982;0,00141030431808937;0,145823854256377;0,0224954649980672;NA;-0,0415662319612778;-0,0287702328583871;NA;-0,0138457795675647;-0,00310659657608802;-0,00917024999960633;NA
"log_trav_h";0,37910220855705;0,456252845817231;-0,545411877175668;NA;NA;-0,0649551013409727;-0,0389052487853201;0,0528200658643129;-0,204720978944409;-0,09801916862198;-0,0664726619100836;-0,060915927303128;-0,078793993880514;-0,0180111787588349;-0,0745104882191902;-0,116516236448757;-0,0668867500382679;-0,0120321647415366;0,113684951295332;-0,0641216917343146;-0,0688755313245708;-0,0488610267648976;-0,0381657585243024;-0,0403127846799367;-0,0503395817393646;0,114268868539708;0,151441945528987;-0,0544145521182366;0,0696494178136944;0,233507988972857;NA;NA;0,574069501045739;-0,291719835228619;-0,269781980979036;-0,290844043971001;-0,257800952024311;-0,316731152427488;0,520118173674665;0,536262474183769;-0,382070158346929;0,600869605960629;0,553005823892983;-0,0206241453874779;-0,32843888560489;-0,02050176809886;0,00393186111086795;-0,0928940044037811;0,0928940075125783;NA;NA;NA;0,151441945528987;-0,0135726904182977;0,00181306499759478;-0,0446981041707856;1;-0,615958724281491;NA;NA;NA;0,637775162230404;NA;-0,0488610267648976;NA;-0,221739601458537;NA;-0,156515006745415;-0,365933426513489;0,0339489353352897;-0,0736909470563543;-0,0528691089004098;-0,0990500415001566;-0,3038642670431;NA;-0,136459617248396;-0,166430798695944;NA;-0,0260497729409581;-0,0270037530382952;-0,068846510166389;NA
"surf_score";-0,220640430990473;-0,29654362214232;0,80925778780371;NA;NA;0,113410206499217;0,083252171815368;-0,00372826637387769;0,206669566381202;0,157398119371162;0,147270593840127;0,137864493068485;0,16790568506066;-0,0382345588953289;0,214462049878722;0,110353260534342;0,147562709808069;0,0427425055086066;-0,167531142185574;0,00446487361867627;0,121794481090763;0,0947527756737636;0,0987659986019593;0,123564708590791;0,142080304858663;-0,056518996856589;0,133537607630171;0,388240773837213;0,458694469428856;-0,143421666981379;NA;NA;-0,210474780956521;0,522881196612464;0,494588644817207;0,530495814498005;0,477659047096387;0,577192543166009;-0,226836772338998;-0,197762796764649;0,511900393847454;-0,232662579475487;-0,230172535511419;0,185638467816335;0,590685805472107;0,183685205959562;-0,0488351337437633;-0,100168163657141;0,100168163150104;NA;NA;NA;0,133537607630171;0,305531030337348;0,310826888274734;0,296547604434384;-0,615958724281491;1;NA;NA;NA;-0,178380252921459;NA;0,0947527756737636;NA;0,340497391933258;NA;0,286824416093059;0,557979505585701;-0,0493981780440744;0,105020981438241;0,117206537005178;0,197116474425225;0,386346288777941;NA;0,0822923324159233;0,164778825153633;NA;0,0313308629254748;-0,0457469041488528;0,0352083619466051;NA
"y_hat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"y_mean";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sse_i";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"sst_i";0,281042648851354;0,325836163960245;-0,122753208750575;NA;NA;-0,0409881434191175;-0,0487531718487713;0,13459128948912;-0,0727275115116481;-0,0186040958697101;-0,0150642302466834;-0,0148216761484192;-0,0155244640003539;-0,0997135583318844;-0,0542234562710536;-0,0690206752073527;-0,0155853004435069;0,0434736676319126;-0,0106058040607182;-0,0728650009103472;0,0167788844280768;-0,0301730945193182;-0,0518208832551063;-0,0504459035204169;-0,0657170977354021;0,0253477653751207;0,0679954590590529;0,0704378833307709;0,117671750930213;0,0772057892323675;NA;NA;0,834335367967821;-0,114932809486964;-0,108827336434608;-0,11968416461634;-0,104932679144349;-0,104869927530587;0,481373786228111;0,45687473850143;-0,0896033899665894;0,539602889669864;0,528446882498575;0,0432517564170506;-0,107176733601132;0,042368895869586;-0,0181303136256375;-0,112805026035825;0,112805020622212;NA;NA;NA;0,0679954590590529;0,0165402994051798;0,0737157804787526;0,0591352959461147;0,637775162230404;-0,178380252921459;NA;NA;NA;1;NA;-0,0301730945193182;NA;-0,0649172746315713;NA;-0,0947062205452007;-0,0599023470917263;-0,0180826331301692;0,0119123465122139;-0,02966089482653;-0,0607257735586855;-0,0950744823930025;NA;-0,0743207286817338;-0,0888222945802908;NA;-0,0205732480413651;-0,0200015735505527;0,0162647541295583;NA
"ss_bis";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"credit";-0,0596443884170243;-0,0663709752349467;0,108846042525153;NA;NA;-0,0263435055172305;-0,0236276062052322;0,0660896870037592;-0,0411681734581032;0,00411285304410837;0,0356061152391575;0,033821146799535;0,0394731112313339;-0,0319726634301447;-0,0413890056924437;0,0153779679431657;0,035509252331241;-0,0174411967074284;-0,0326004970289611;0,0200127453927694;0,0268047593981034;1;0,00978737561189623;0,00549234447059502;0,00993514259804197;-0,0109781949354834;-0,0305177378178231;0,184208481463926;0,143741919331454;-0,0502685982002823;NA;NA;-0,0241252147822958;0,0596811858428636;0,0898485896572302;0,0637086619101335;0,0864436057715725;0,0161128649187547;0,0191180131216309;-0,0353468030982718;0,133014167493595;-0,0399014557947079;0,0225070156709587;-0,0210877905826206;0,0215397163676823;-0,0201394108179178;0,0170149997115825;0,0219304785767893;-0,0219304786599579;NA;NA;NA;-0,0305177378178231;0,0290521636189532;0,00424212888892271;0,0140131224361273;-0,0488610267648976;0,0947527756737636;NA;NA;NA;-0,0301730945193182;NA;1;NA;-0,00832283461711692;NA;0,12141435152981;0,0167270631947427;-0,00877918068839062;0,0297740753277934;-0,0143585165359066;0,00579237637919785;0,123265690990872;NA;-0,0212954316407662;-0,0385517422410228;NA;-0,00813026620331886;-0,00813026620331886;-0,00913646572357736;NA
