id;date;piezo;besoinprelev;besoin_culture;besoin_puits;besoinprelevforage;prelev;prelevm3;cumulpluie;evapotrans;recharge;besoinpuits;diffpiezo;bilanecoulements;nomstation;piezostation;demo;resolution;varperm;nbiterations;varstock;consourb
1407.0;2008-01-01 00:00;5.040436544591726;0.0;0.0;0.0;0.0;0.0;0.0;2.8393226861953734E-4;0.07176992797851563;0.0;0.0;0.0;-0.014152726953683616;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1411.0;2008-01-01 00:00;5.995182803753153;0.0;0.0;0.0;0.0;0.0;0.0;2.439679130911827E-4;0.07176992797851563;0.0;0.0;0.0;-0.014127441760762714;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1472.0;2008-01-01 00:00;5.545895659333996;0.0;0.0;0.0;0.0;0.0;0.0;2.8393226861953734E-4;0.07176992797851563;0.0;0.0;0.0;0.011559092408947105;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1534.0;2008-01-01 00:00;5.4547562106387595;0.0;0.0;0.0;0.0;0.0;0.0;2.8393226861953734E-4;0.07176992797851563;0.0;0.0;0.0;2.2358734774392429E-4;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
2717.0;2008-01-01 00:00;13.61352135560719;0.0;0.0;0.0;0.0;0.0;0.0;2.8393226861953734E-4;0.07176992797851563;0.0;0.0;0.0;-0.003962737105211979;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
3579.0;2008-01-01 00:00;2.7172552334850284;54.8400568093819;0.0;54.8400568093819;0.0;6.093339645486878E-4;54.8400568093819;3.232192099094391E-4;0.07176992797851563;0.0;54.8400568093819;0.0;-0.015882855245583253;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
4510.0;2008-01-01 00:00;16.11023217186631;0.0;0.0;0.0;0.0;0.0;0.0;3.1707417964935305E-4;0.07176992797851563;0.0;0.0;0.0;-8.766080409188136E-4;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
6357.0;2008-01-01 00:00;4.091745476574636;10.715839849341002;0.0;10.715839849341002;0.0;1.1906488721490001E-4;10.715839849341002;1.2710515386424968E-4;0.05781795501708984;0.0;10.715839849341002;0.0;0.03689654200353738;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
8543.0;2008-01-01 00:00;25.48330313988273;144.55691579631016;0.0;144.55691579631016;0.0;0.001606187953292335;144.55691579631016;0.0;0.0670230712890625;0.0;144.55691579631016;0.0;-0.019271580367103438;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
11962.0;2008-01-01 00:00;0.08670261259957789;23.278517718192774;0.0;23.278517718192774;0.0;2.586501968688086E-4;23.278517718192774;4.448641836643219E-4;0.06180439758300781;0.0;23.278517718192774;0.0;0.0053486162167042765;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
12460.0;2008-01-01 00:00;1.4726485107836724;1.337566927068513;0.0;1.337566927068513;0.0;1.4861854745205702E-5;1.337566927068513;4.448641836643219E-4;0.06180439758300781;0.0;1.337566927068513;0.0;-0.017206341144846225;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
428.0;2008-01-11 00:00;10.37314224183493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.414652582298528E-4;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
795.0;2008-01-11 00:00;2.1026475069209702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.025290271927301593;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
857.0;2008-01-11 00:00;3.0930425181358805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0027763494985240064;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
918.0;2008-01-11 00:00;3.6827386210464774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005130098483949767;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
975.0;2008-01-11 00:00;2.6147768096002957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.266865441588418E-4;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1034.0;2008-01-11 00:00;2.0267458368798006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0021700661495400253;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1039.0;2008-01-11 00:00;4.094057173897849;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.012117801809318995;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1094.0;2008-01-11 00:00;1.9562700262592314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.009781397534407748;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1096.0;2008-01-11 00:00;2.736742320345969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005439814770833789;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1098.0;2008-01-11 00:00;3.7645869420075013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.02621312708744017;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1156.0;2008-01-11 00:00;2.5579425397807993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026502849353644397;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1158.0;2008-01-11 00:00;3.4842374116983823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.003942979612197504;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1164.0;2008-01-11 00:00;5.310405704688719;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.008487125635429244;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1214.0;2008-01-11 00:00;1.5019421186130024;4.999643680407171E-6;0.0;4.999643680407171E-6;0.0;5.555159644896856E-11;4.999643680407171E-6;0.0;0.0;0.0;4.999643680407171E-6;0.0;-0.008635530755700747;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
1216.0;2008-01-11 00:00;2.410072723275708;2.4998218402035854E-6;0.0;2.4998218402035854E-6;0.0;2.777579822448428E-11;2.4998218402035854E-6;0.0;0.0;0.0;2.4998218402035854E-6;0.0;-2.2417551621394536E-4;0.0;0.0;0.0;300.0;0.0;3;30.0;0.06
