"";"scenario_simulbusiness_as_usual_calib_industrie_seule_piezo";"scenario_simulbusiness_as_usual_calib_tous_forages_piezo";"simulation_15";"piezostation"
"rmse_agg_dgpz";0,437071172399109;0,434935800153804;0,415277991715713;0
"nash_sutcliffe";-0,840949625413136;-0,829878870801992;-0,742002495555435;1
