RGPHAE;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
cr._khelcom_birame;12557;12947;13351;13768;14198;14642;15100;15572;16058;16558;17071;17598;18139
cr.__gagnick;8552;8818;9093;9377;9670;9972;10284;10605;10936;11277;11626;11985;12354
cr.__nguelou;9244;9531;9829;10135;10452;10779;11116;11463;11821;12189;12567;12955;13353
cr.__ourour;10721;11054;11399;11755;12122;12501;12892;13295;13710;14137;14575;15025;15487
cr.__dara_mboss;4512;4652;4797;4947;5102;5261;5426;5595;5770;5950;6134;6323;6518
cr.__panal_ouolof;6686;6894;7109;7331;7560;7796;8040;8291;8550;8816;9090;9370;9658
region_kedougou;151357;156352;161532;166907;172482;178269;184275;190513;196991;203723;210719;217991;225544
zoneurbaine_kedougou;37528;40651;42322;44230;46225;48133;50307;52582;54960;57246;59844;62563;65182
zonerurale_kedougou;113829;115701;119211;122677;126257;130137;133967;137931;142031;146477;150875;155428;160362
departement_kedougou;78522;81113;83801;86589;89481;92484;95599;98836;102196;105689;109318;113091;117009
com_.kedougou;30051;31043;32071;33138;34245;35394;36587;37825;39111;40448;41837;43281;44780
arrondissement__bandafassi;37736;38981;40273;41613;43003;44446;45943;47498;49113;50792;52536;54349;56232
cr.__bandafassi;11042;11406;11784;12176;12583;13005;13443;13899;14371;14862;15373;15903;16454
cr.__tomboronkoto;13650;14100;14568;15052;15555;16077;16619;17181;17765;18373;19004;19659;20340
cr.__dindifelo;5277;5451;5632;5819;6014;6215;6425;6642;6868;7103;7347;7600;7863
cr.__ninefecha;7767;8023;8289;8565;8851;9148;9456;9776;10109;10454;10813;11186;11574
arrondissement__fongolimbi;10735;11089;11457;11838;12233;12644;13070;13512;13972;14449;14945;15461;15997
cr.__dimboli;5971;6168;6372;6584;6804;7033;7270;7516;7771;8037;8313;8600;8898
cr.__fongolembi;4764;4921;5084;5253;5429;5611;5800;5996;6200;6412;6632;6861;7099
departement_salemata;22111;22841;23597;24383;25197;26042;26920;27831;28777;29761;30783;31845;32949
com._salemata;4751;4908;5070;5239;5414;5596;5784;5980;6183;6395;6614;6843;7080
arrondissement__dakateli;8010;8274;8548;8833;9128;9434;9752;10082;10425;10781;11152;11536;11936
cr.__dakateli;3676;3797;3923;4054;4189;4330;4475;4627;4784;4948;5118;5294;5478
cr.__kevoye;4334;4477;4625;4779;4939;5105;5277;5455;5641;5833;6034;6242;6458
arrondissement__dar_salam;9349;9658;9977;10309;10654;11011;11382;11768;12168;12584;13016;13465;13931
cr.__dar_salam;3883;4011;4144;4282;4425;4573;4727;4888;5054;5226;5406;5592;5786
cr.__ethiolo;3331;3441;3555;3673;3796;3923;4055;4193;4335;4483;4637;4797;4964
cr.__oubadji;2135;2205;2279;2354;2433;2515;2599;2687;2779;2874;2972;3075;3181
departement_saraya;50724;52398;54134;55935;57804;59743;61756;63846;66017;68273;70618;73055;75586
com._saraya;2726;2816;2909;3006;3106;3211;3319;3431;3548;3669;3795;3926;4062
arrondissement__bembou;20428;21102;21801;22527;23279;24060;24871;25713;26587;27496;28440;29421;30441
cr.__medina_baffe;6782;7006;7238;7479;7729;7988;8257;8537;8827;9128;9442;9768;10106
cr.__bembou;13646;14096;14563;15048;15551;16072;16614;17176;17760;18367;18998;19654;20335
arrondissement__sabodala;27570;28480;29423;30402;31418;32472;33566;34702;35882;37109;38383;39708;41083
cr.__khossanto;2546;2630;2717;2808;2901;2999;3100;3205;3314;3427;3545;3667;3794
cr.__missirah_sirimana;12756;13177;13614;14067;14536;15024;15530;16056;16602;17169;17759;18372;19008
cr.__sabodala;12268;12673;13093;13528;13980;14449;14936;15442;15967;16512;17079;17669;18281
region_de_kolda;662455;682687;703774;725690;748451;772073;796582;821998;848348;875660;903966;933287;963635
pop.urbaine_de_kolda;169637;180912;190019;198839;208818;219268;230213;240846;252807;265325;278422;291185;305472
pop.rurale_de_kolda;492818;501775;513755;526850;539633;552805;566369;581153;595541;610335;625545;642102;658162
departement__kolda;245990;253503;261333;269471;277923;286695;295795;305233;315018;325160;335670;346558;357827
com._kolda;81099;83576;86157;88840;91627;94519;97519;100631;103856;107200;110665;114255;117970
com._dabo;6069;6254;6448;6648;6857;7073;7298;7531;7772;8022;8282;8550;8828
com._salikegne;3676;3788;3905;4027;4153;4284;4420;4561;4708;4859;5016;5179;5347
com._sare_yoba_diega;3552;3660;3774;3891;4013;4140;4271;4407;4549;4695;4847;5004;5167
arrondissement_dioulacolon;63347;65282;67298;69394;71570;73829;76173;78603;81123;83735;86441;89245;92147
cr.__dioulacolon;20751;21385;22045;22732;23445;24185;24952;25749;26574;27430;28316;29235;30185
cr.__medina__el_hadji;11785;12145;12520;12910;13315;13735;14171;14623;15092;15578;16081;16603;17143
cr.__tankanto_escale;15256;15722;16208;16712;17236;17780;18345;18930;19537;20166;20818;21493;22192
cr.__guiro_yero_bocar;15555;16030;16525;17040;17574;18129;18704;19301;19920;20561;21226;21914;22627
arrondissement_mampatim;67122;69172;71309;73529;75835;78229;80712;83287;85957;88725;91593;94564;97638
cr.__bagadadji;15365;15834;16323;16832;17360;17907;18476;19065;19677;20310;20967;21647;22351
cr.__coumbacara;10132;10441;10764;11099;11447;11809;12183;12572;12975;13393;13826;14274;14738
cr.__mampatim;15400;15870;16361;16870;17399;17948;18518;19109;19721;20356;21014;21696;22401
cr.__dialambere;13302;13708;14132;14572;15029;15503;15995;16506;17035;17583;18152;18740;19350
cr.__medina_cherif;12923;13318;13729;14157;14601;15061;15540;16035;16549;17082;17634;18206;18798
arrondissement_sare_bidji;21125;21770;22443;23141;23867;24621;25402;26213;27053;27924;28827;29762;30729
cr.__sare_bidji;16753;17265;17798;18352;18928;19525;20145;20788;21454;22145;22861;23602;24370
cr.__thietty;4372;4506;4645;4789;4940;5095;5257;5425;5599;5779;5966;6159;6360
departement_velingara;278382;286884;295745;304955;314520;324447;334746;345426;356499;367977;379872;392193;404946
com._velingara;32161;33143;34167;35231;36336;37483;38673;39907;41186;42512;43886;45309;46783
com._diaoube__kabendou;26165;26964;27797;28663;29562;30495;31463;32466;33507;34586;35704;36862;38061
com._kounkane;10798;11128;11471;11829;12200;12585;12984;13399;13828;14273;14735;15213;15707
arrondissement_bonconto;102065;105182;108431;111808;115314;118954;122730;126646;130706;134914;139275;143792;148468
cr.__bonconto;10233;10546;10871;11210;11561;11926;12305;12697;13105;13526;13964;14417;14885
cr.__linkering;17059;17580;18123;18687;19273;19882;20513;21167;21846;22549;23278;24033;24815
cr.__medina_gounass;48219;49692;51227;52822;54479;56198;57982;59832;61750;63738;65798;67932;70141
cr.__sinthiang__koundara;26554;27365;28210;29089;30001;30948;31930;32949;34005;35100;36235;37410;38627
arrondissement_pakour;43871;45211;46607;48059;49566;51130;52754;54437;56182;57990;59865;61807;63817
cr.__ouassadou;16529;17034;17560;18107;18675;19264;19876;20510;21167;21849;22555;23287;24044
cr.__paroumba;14838;15291;15763;16254;16764;17293;17842;18412;19002;19613;20247;20904;21584
cr.__pakour;12504;12886;13284;13698;14127;14573;15036;15515;16013;16528;17063;17616;18189
arrondissement_sare_coly_sall;63322;65256;67272;69366;71542;73800;76143;78572;81091;83702;86407;89210;92111
cr.__kandia;21075;21719;22390;23087;23811;24562;25342;26151;26989;27858;28758;29691;30657
cr.__sare_coly_salle;19000;19580;20185;20814;21466;22144;22847;23576;24332;25115;25927;26768;27638
cr.__nemataba;10554;10876;11212;11561;11924;12300;12691;13096;13516;13951;14402;14869;15352
cr.__kandiaye;12693;13081;13485;13905;14341;14793;15263;15750;16255;16778;17320;17882;18464
departement_medina_yoro_foulah;138084;142301;146697;151265;156009;160933;166042;171340;176832;182525;188425;194537;200863
com._medina_yoro_foulah;3000;3092;3187;3286;3389;3496;3607;3723;3842;3966;4094;4226;4364
com._pata;3118;3213;3312;3416;3523;3634;3749;3869;3993;4121;4255;4393;4536
arrondissement_fafacourou;19652;20252;20878;21528;22203;22904;23631;24385;25167;25977;26817;27686;28587
cr.__fafacourou;7068;7284;7509;7743;7986;8238;8499;8770;9051;9343;9645;9958;10281
cr.__badion;12584;12968;13369;13785;14218;14666;15132;15615;16115;16634;17172;17729;18305
arrondissement_ndorna;51106;52667;54294;55984;57740;59563;61453;63414;65447;67554;69738;72000;74341
cr.__ndorna;12231;12605;12994;13399;13819;14255;14707;15177;15663;16167;16690;17231;17792
cr.__bignarabe;6774;6981;7197;7421;7653;7895;8146;8405;8675;8954;9244;9543;9854
cr.__bourouco;25242;26013;26816;27651;28519;29419;30353;31321;32325;33366;34444;35562;36718
cr.__koulinto;6859;7068;7287;7514;7749;7994;8248;8511;8784;9067;9360;9663;9977
arrondissement_niaming;61208;63077;65026;67051;69154;71336;73601;75949;78384;80907;83523;86232;89036
cr.__dinguiraye;14665;15113;15580;16065;16569;17092;17634;18197;18780;19385;20011;20661;21332
cr.__kerewane;32803;33805;34849;35934;37061;38231;39445;40703;42008;43360;44762;46214;47717
cr.__niaming;13740;14160;14597;15052;15524;16014;16522;17049;17596;18162;18749;19357;19987
region_de_louga;874193;898732;924050;950102;976885;1004401;1032645;1061607;1091268;1121619;1152650;1184351;1216707
zoneurbaine_de_louga;189682;200417;208836;217573;225660;235030;244737;254785;265178;275918;285858;297272;309043
zonerurale_de_louga;684511;698314;715215;732528;751225;769371;787908;806821;826090;845700;866793;887079;907663
departement_kebemer;259083;266356;273859;281580;289518;297673;306043;314627;323417;332412;341609;351004;360593
com._kebemer;19902;20461;21037;21630;22240;22866;23509;24169;24844;25535;26241;26963;27700
com._gueoul;8003;8228;8459;8698;8943;9195;9454;9719;9990;10268;10552;10842;11139
arrondissement__darou_mousty;82874;85200;87600;90070;92609;95218;97895;100641;103453;106330;109272;112277;115345
cr.__darou_marnane;11883;12217;12561;12915;13279;13653;14037;14431;14834;15246;15668;16099;16539
cr.__darou_mousty;38183;39255;40361;41499;42668;43870;45104;46369;47664;48990;50345;51730;53143
cr.__mbadiane;8907;9157;9415;9680;9953;10234;10521;10817;11119;11428;11744;12067;12397
cr.__ndoyene;5741;5902;6068;6240;6415;6596;6782;6972;7167;7366;7570;7778;7990
cr.__sam_yabal;5663;5822;5986;6155;6328;6506;6689;6877;7069;7266;7467;7672;7882
cr.__touba_merina;7065;7263;7468;7678;7895;8117;8346;8580;8819;9065;9315;9572;9833
cr.__mbacke_cadior;5434;5587;5744;5906;6072;6243;6419;6599;6783;6972;7165;7362;7563
arrondissement_ndande;81923;84223;86595;89037;91547;94125;96772;99486;102266;105110;108018;110989;114021
cr.__badegne_ouolof;15859;16304;16763;17236;17722;18221;18734;19259;19797;20348;20911;21486;22073
cr.__diokoul_diawrigne;15854;16299;16758;17231;17716;18215;18728;19253;19791;20341;20904;21479;22066
cr.__kab_gaye;11272;11588;11915;12251;12596;12951;13315;13689;14071;14462;14862;15271;15688
cr.__ndande;23983;24656;25351;26066;26800;27555;28330;29125;29938;30771;31622;32492;33380
cr.__thieppe;14956;15376;15809;16255;16713;17184;17667;18162;18670;19189;19720;20262;20816
arrondissement_sagatta_gueth;66380;68243;70166;72144;74178;76267;78412;80611;82863;85168;87524;89931;92388
cr.__kanene_ndiob;9318;9580;9849;10127;10413;10706;11007;11316;11632;11955;12286;12624;12969
cr.__loro;8236;8467;8706;8951;9203;9463;9729;10002;10281;10567;10859;11158;11463
cr.__sagatta_gueth;14986;15407;15841;16287;16746;17218;17702;18199;18707;19228;19759;20303;20858
cr.__thiolom_fall;24199;24878;25579;26300;27042;27803;28585;29387;30208;31048;31907;32785;33680
cr.__ngourane_ouolof;9642;9913;10192;10479;10775;11078;11390;11709;12036;12371;12713;13063;13420
departement_linguere;241898;248688;255694;262903;270314;277928;285743;293757;301965;310363;318950;327722;336675
com._linguere;15482;15917;16365;16826;17301;17788;18288;18801;19326;19864;20413;20975;21548
com._dahra;32941;33866;34820;35801;36811;37847;38912;40003;41121;42264;43434;44628;45847
com._mbeuleukhe;1510;1552;1596;1641;1687;1735;1784;1834;1885;1937;1991;2046;2102
arrondissement_barkedji;57599;59216;60884;62601;64365;66178;68039;69947;71902;73901;75946;78035;80167
cr.__barkedji;18125;18634;19159;19699;20254;20825;21410;22011;22626;23255;23898;24556;25226
cr.__gassane;16150;16603;17071;17552;18047;18555;19077;19612;20160;20721;21294;21880;22478
cr.__thiargny;9298;9559;9828;10105;10390;10683;10983;11291;11607;11930;12260;12597;12941
cr.__thiel;14026;14420;14826;15244;15674;16115;16568;17033;17509;17996;18494;19002;19521
arrondissement_dodji;37004;38043;39114;40217;41351;42516;43711;44937;46193;47477;48791;50133;51502
cr.__dodji;13578;13959;14352;14757;15173;15600;16039;16489;16950;17421;17903;18395;18898
cr.__labgar;6875;7068;7267;7472;7683;7899;8121;8349;8582;8821;9065;9314;9569
cr.__ouarkhoh;16551;17016;17495;17988;18495;19016;19551;20099;20661;21235;21823;22423;23036
arrondissement_yang_yang;32659;33576;34522;35495;36495;37523;38579;39661;40769;41903;43062;44246;45455
cr.__kamb;10910;11216;11532;11857;12192;12535;12887;13249;13619;13998;14385;14781;15185
cr.__mboula;7862;8083;8310;8545;8786;9033;9287;9547;9814;10087;10366;10651;10942
cr.__tessekre_forage;8999;9252;9512;9780;10056;10339;10630;10928;11234;11546;11865;12192;12525
cr._yang_yang;4888;5025;5167;5312;5462;5616;5774;5936;6102;6271;6445;6622;6803
arrondissement_sagatta_djolo;64704;66520;68394;70322;72305;74341;76432;78576;80771;83017;85314;87661;90055
cr.__boulal;12371;12718;13077;13445;13824;14214;14613;15023;15443;15872;16312;16760;17218
cr.__deali;17521;18013;18520;19042;19579;20131;20697;21277;21872;22480;23102;23737;24386
cr.__sagatta_djolof;10537;10833;11138;11452;11775;12106;12447;12796;13153;13519;13893;14275;14665
cr.__thiamene_djolof;18589;19111;19649;20203;20773;21358;21958;22574;23205;23850;24510;25184;25872
cr.__affe_djoloff;5686;5846;6010;6180;6354;6533;6717;6905;7098;7295;7497;7703;7914
departement_louga;373212;383688;394497;405619;417053;428801;440859;453223;465886;478844;492091;505625;519439
com._louga;104349;107278;110300;113410;116607;119891;123263;126720;130260;133883;137587;141371;145234
com._ndiagne;7496;7706;7924;8147;8377;8613;8855;9103;9357;9618;9884;10156;10433
arrondissement_coki;55950;57521;59141;60808;62522;64284;66091;67945;69843;71786;73772;75801;77872
cr.__coki;25298;26008;26741;27495;28270;29066;29883;30722;31580;32458;33356;34274;35210
cr.__pete_ouarack;4837;4973;5113;5257;5405;5557;5714;5874;6038;6206;6378;6553;6732
cr.__thiamene_cayor;17179;17661;18159;18671;19197;19738;20293;20862;21445;22041;22651;23274;23910
cr.__guet_ardo;8635;8877;9127;9385;9649;9921;10200;10486;10779;11079;11386;11699;12018
arrondissement_k_eur_momar_sa;75652;77776;79967;82221;84539;86920;89364;91871;94438;97064;99749;102493;105293
cr.__gande;16513;16977;17455;17947;18453;18973;19506;20053;20613;21187;21773;22372;22983
cr.__k.momar_sarr;27517;28289;29086;29906;30749;31616;32505;33416;34350;35305;36282;37280;38298
cr.__nguer_malal;24518;25206;25916;26647;27398;28170;28962;29774;30606;31457;32328;33217;34124
cr.__syer;7104;7303;7509;7721;7939;8162;8392;8627;8868;9115;9367;9624;9887
arrondissement_mbediene;58066;59696;61378;63108;64887;66715;68591;70514;72485;74501;76562;78667;80817
cr.__kelle_gueye;10091;10374;10667;10967;11276;11594;11920;12254;12597;12947;13305;13671;14045
cr.__mbediene;12442;12791;13152;13522;13904;14295;14697;15109;15532;15964;16405;16856;17317
cr.__nguidile;19710;20263;20834;21421;22025;22646;23283;23936;24604;25289;25988;26703;27432
cr.__niomre;15822;16266;16724;17196;17681;18179;18690;19214;19751;20300;20862;21436;22021
ar.rondissement_sakal;71699;73712;75788;77925;80122;82378;84695;87070;89503;91992;94537;97137;99791
cr.__leona;32788;33708;34658;35635;36640;37672;38731;39817;40930;42068;43232;44421;45635
cr.__ngueune_sarr;13874;14263;14665;15079;15504;15940;16389;16848;17319;17801;18293;18796;19310
cr.__sakal;25037;25740;26465;27211;27978;28766;29575;30405;31254;32123;33012;33920;34847
region_matam;562539;584524;607229;630703;654981;680086;706037;732866;760588;789219;818776;849273;880721
zoneurbaine_matam;119784;133856;143306;153892;165055;176142;188512;200805;214486;228873;243177;259029;275666
zonerurale_matam;442755;450668;463922;476811;489926;503944;517525;532061;546103;560346;575600;590245;605055
departement_matam;272621;283276;294279;305655;317421;329587;342164;355166;368601;382476;396800;411580;426820
com_.matam;17218;17891;18586;19304;20047;20816;21610;22431;23280;24156;25061;25994;26957
com._ourossogui;15654;16266;16898;17551;18226;18925;19647;20394;21165;21962;22784;23633;24508
com._thilogne;10441;10849;11270;11706;12157;12623;13104;13602;14117;14648;15197;15763;16347
com._nguidilogne;10444;10852;11274;11710;12160;12626;13108;13606;14121;14653;15201;15767;16351
arrondissement_agnam_civol;68618;71300;74069;76933;79894;82956;86122;89394;92776;96268;99874;103594;107430
cr.__agnam_civol;26321;27350;28412;29510;30646;31821;33035;34291;35588;36927;38310;39737;41209
cr.__orefonde;19175;19924;20698;21498;22326;23182;24066;24981;25926;26902;27909;28949;30021
cr.__dabia;23121;24025;24958;25923;26920;27952;29019;30122;31261;32438;33653;34906;36199
arrondissement_ogo;150245;156117;162181;168450;174935;181640;188571;195737;203141;210788;218682;226827;235226
cr.__bokidiawe;52282;54325;56435;58617;60873;63207;65619;68112;70689;73349;76096;78931;81854
cr.__nabadji_civol;52372;54419;56533;58718;60978;63316;65732;68229;70810;73476;76227;79067;81995
cr.__ogo;45592;47374;49214;51116;53084;55119;57222;59396;61643;63964;66359;68831;71380
departement_kanel;238605;247930;257561;267517;277815;288463;299471;310850;322609;334753;347290;360225;373564
com._kanel;12975;13482;14006;14547;15107;15686;16285;16904;17543;18203;18885;19589;20314
com._semme;6891;7160;7438;7726;8023;8331;8649;8977;9317;9668;10030;10403;10789
com._waounde;7815;8120;8436;8762;9099;9448;9809;10181;10566;10964;11375;11798;12235
com._dembancane;5293;5500;5713;5934;6163;6399;6643;6896;7156;7426;7704;7991;8287
com._hamady_ounare;10175;10573;10983;11408;11847;12301;12771;13256;13757;14275;14810;15361;15930
com._sinthiou_bamanbe_banadji;13822;14362;14920;15497;16093;16710;17348;18007;18688;19392;20118;20867;21640
com._odobere;6028;6264;6507;6758;7019;7288;7566;7853;8150;8457;8774;9101;9438
arrondissement_orkadiere;106117;110264;114547;118975;123555;128291;133186;138247;143477;148878;154453;160206;166139
cr.__bokiladji;30447;31637;32866;34136;35450;36809;38214;39666;41166;42716;44316;45966;47668
cr.__orkadiere;40533;42117;43753;45444;47194;49003;50873;52806;54803;56866;58996;61193;63459
cr.__aoure;35136;36509;37927;39394;40910;42478;44099;45775;47506;49294;51140;53045;55010
arrondissement_ouro_sidy;69488;72204;75008;77908;80907;84008;87214;90528;93952;97489;101140;104907;108792
cr.__ndendory;32182;33440;34739;36082;37470;38907;40391;41926;43512;45150;46841;48586;50385
cr.__ouro_sidy;37307;38765;40271;41828;43438;45103;46824;48603;50441;52340;54300;56323;58408
departement_ranerou;51313;53318;55389;57531;59745;62035;64402;66850;69378;71990;74686;77468;80337
com._ranerou;3026;3144;3266;3393;3523;3658;3798;3942;4091;4245;4404;4568;4738
arrondissement_velingara;48286;50173;52122;54137;56221;58376;60603;62906;65286;67743;70280;72898;75597
cr.__lougre_thioly;3300;3429;3562;3700;3842;3990;4142;4299;4462;4630;4803;4982;5167
cr.__velingara;18081;18788;19517;20272;21052;21859;22693;23556;24447;25367;26317;27297;28308
cr.__oudalaye;26905;27956;29042;30165;31326;32527;33768;35051;36377;37747;39160;40619;42123
region_saint_louis;908942;932876;957602;983032;1009170;1036009;1063542;1091740;1120585;1150062;1180146;1210806;1242015
urbain_saint_louis;412037;431922;449116;466941;485411;504536;524327;544779;565896;587682;610135;633251;657025
rural_saint_louis;496905;500954;508486;516092;523759;531473;539216;546962;554690;562380;570010;577555;584989
departement_dagana;241695;248059;254634;261396;268346;275483;282804;290302;297973;305811;313810;321963;330262
com._dagana;21750;22323;22914;23523;24148;24791;25449;26124;26814;27520;28240;28973;29720
com._richard_toll;57878;59402;60976;62596;64260;65969;67722;69518;71355;73232;75147;77100;79087
com._rosso_senegal;15870;16288;16720;17164;17620;18089;18569;19062;19565;20080;20605;21141;21685
com._ross_bethio_;11588;11893;12208;12533;12866;13208;13559;13918;14286;14662;15046;15436;15834
com._gae;7148;7336;7531;7731;7936;8147;8364;8586;8812;9044;9281;9522;9767
com._ndombo_sandjiry;4559;4679;4803;4931;5062;5196;5334;5476;5621;5768;5919;6073;6230
arrondissement_mbane;45446;46643;47879;49150;50457;51799;53176;54586;56028;57502;59006;60539;62099
cr.__mbane;28640;29394;30173;30975;31798;32644;33511;34400;35309;36237;37185;38151;39135
cr.__bokhol;16806;17249;17706;18176;18659;19155;19664;20186;20719;21264;21820;22387;22964
arrondissement_ndiaye;77456;79496;81603;83770;85997;88284;90630;93033;95491;98003;100567;103180;105839
cr.__diama;34828;35745;36693;37667;38668;39697;40752;41832;42938;44067;45220;46395;47590
cr.__ngnith;21035;21589;22161;22750;23355;23976;24613;25265;25933;26615;27311;28021;28743
cr.__ronkh;21593;22162;22749;23353;23974;24612;25266;25936;26621;27321;28036;28764;29506
departement_podor;370751;380514;390599;400972;411633;422581;433811;445313;457079;469102;481373;493879;506609
com._podor;11608;11914;12229;12554;12888;13231;13582;13942;14311;14687;15072;15463;15862
com._ndioum;14341;14719;15109;15510;15922;16346;16780;17225;17680;18145;18620;19104;19596
com._gollere;6373;6541;6714;6892;7076;7264;7457;7655;7857;8064;8275;8490;8708
com._ndiandane;4839;4966;5098;5233;5373;5515;5662;5812;5966;6123;6283;6446;6612
com._bode_lao;2466;2531;2598;2667;2738;2811;2885;2962;3040;3120;3202;3285;3370
com._demette;3042;3122;3205;3290;3377;3467;3559;3654;3750;3849;3950;4052;4157
com._galoya_toucouleur;5289;5428;5572;5720;5872;6028;6189;6353;6521;6692;6867;7046;7227
com._guede_chantier;5600;5747;5900;6056;6218;6383;6552;6726;6904;7086;7271;7460;7652
com._mboumba;4896;5025;5158;5295;5436;5580;5729;5881;6036;6195;6357;6522;6690
com._aere_lao;9472;9721;9979;10244;10516;10796;11083;11377;11678;11985;12298;12618;12943
com._pete;4211;4322;4436;4554;4675;4800;4927;5058;5192;5328;5467;5609;5754
com._walalde;3224;3309;3397;3487;3580;3675;3772;3872;3975;4079;4186;4295;4405
arrondissemnt_cas_cas;79557;81652;83816;86042;88330;90679;93089;95557;98081;100662;103295;105978;108710
cr.__medina_ndiathbe;33243;34118;35023;35953;36909;37890;38897;39929;40983;42062;43162;44283;45425
cr.__dounga_lao;28995;29758;30547;31358;32192;33048;33927;34826;35746;36687;37646;38624;39620
cr.__mery;17319;17775;18246;18731;19229;19740;20265;20802;21352;21913;22487;23071;23665
arrondissement_salde;48878;50165;51495;52862;54268;55711;57192;58708;60259;61844;63462;65111;66789
cr.__boke_dialloube;24161;24797;25454;26130;26825;27539;28270;29020;29787;30570;31370;32185;33015
cr.__mbolo_birane;24717;25368;26040;26732;27443;28172;28921;29688;30472;31274;32092;32926;33774
arrondissement_thille_boubac;63950;65634;67374;69163;71002;72890;74827;76811;78840;80914;83031;85188;87384
cr.__fanaye;33258;34134;35038;35969;36925;37907;38915;39947;41002;42081;43181;44303;45445
cr.__ndiayene_pendao;30692;31500;32335;33194;34076;34983;35912;36864;37838;38834;39850;40885;41939
arrondissement_gamadji_sare;103006;105718;108520;111402;114364;117406;120526;123722;126990;130331;133740;137215;140752
cr.__dodel;38528;39543;40591;41669;42776;43914;45081;46276;47499;48749;50024;51323;52646
cr.__gamadji_sare;20387;20924;21478;22049;22635;23237;23855;24487;25134;25795;26470;27158;27858
cr.__guede_village;44091;45252;46451;47685;48953;50255;51590;52958;54357;55787;57247;58734;60248
departement_saint_louis;296496;304303;312369;320664;329190;337945;346926;356125;365534;375149;384962;394964;405144
com._saint_louis;209752;215275;220981;226849;232881;239075;245428;251935;258592;265394;272336;279412;286614
com._m.pal;8132;8346;8567;8795;9029;9269;9515;9767;10025;10289;10558;10833;11112
arrondissement_rao;78612;80682;82820;85020;87280;89602;91983;94422;96916;99466;102068;104719;107419
cr.__gandon;40763;41836;42945;44086;45258;46462;47696;48961;50254;51576;52926;54301;55700
cr.__fass_ngom;16667;17106;17559;18026;18505;18997;19502;20019;20548;21088;21640;22202;22774
cr.__n.diebene_gandiole;21182;21740;22316;22909;23518;24143;24785;25442;26114;26801;27502;28217;28944
region_sedhiou;452994;468098;483768;500064;517016;534655;553005;572099;591970;612649;634171;656562;679842
zoneurbaine_sedhiou;87014;95960;101591;107013;113226;119762;126638;133299;140889;148873;157275;165454;174720
zonerurale_sedhiou;365980;372138;382177;393051;403790;414892;426366;438800;451082;463776;476897;491109;505122
departement_sedhiou;151331;156377;161612;167056;172719;178611;184742;191120;197758;204667;211857;219337;227114
com._sedhiou;24214;25021;25859;26730;27636;28579;29560;30581;31643;32748;33898;35095;36340
com._marsassoum;7029;7263;7507;7759;8022;8296;8581;8877;9185;9506;9840;10188;10549
com._dianah_malary;3066;3168;3274;3385;3499;3619;3743;3872;4007;4147;4292;4444;4601
arrondissement_diende;51303;53014;54788;56634;58554;60551;62630;64792;67042;69384;71822;74358;76994
cr.__diende;12479;12895;13327;13776;14243;14729;15234;15760;16307;16877;17470;18087;18728
cr.__sakar;9028;9329;9641;9966;10304;10655;11021;11402;11798;12210;12639;13085;13549
cr.__diannah_ba;7206;7446;7696;7955;8224;8505;8797;9101;9417;9746;10088;10444;10815
cr.__koussy;8383;8663;8952;9254;9568;9894;10234;10587;10955;11338;11736;12150;12581
cr.__oudoucar;10354;10699;11057;11430;11817;12221;12640;13076;13531;14003;14495;15007;15539
cr.__sama_kanta_peulh;3851;3979;4113;4251;4395;4545;4701;4864;5032;5208;5391;5582;5779
arrondissement_djibabouya;30376;31389;32440;33532;34669;35852;37082;38363;39695;41082;42525;44026;45588
cr.__benet__bijini;10847;11209;11584;11974;12380;12802;13242;13699;14175;14670;15185;15721;16279
cr.__sansamba;13787;14247;14724;15220;15736;16272;16831;17412;18017;18646;19301;19983;20691
cr.__djibabouya;5742;5933;6132;6339;6554;6777;7010;7252;7504;7766;8039;8322;8617
arrondissement_djiredji;35343;36521;37744;39015;40338;41714;43146;44636;46186;47799;49479;51226;53042
cr.__bambali;17330;17908;18507;19131;19779;20454;21156;21887;22647;23438;24261;25118;26008
cr.__djiredji;18012;18613;19236;19884;20558;21259;21989;22748;23538;24360;25216;26106;27032
departement_bounkiling;145568;150422;155457;160694;166141;171809;177706;183842;190227;196873;203789;210984;218465
com._bounkiling;6416;6630;6852;7083;7323;7573;7833;8103;8384;8677;8982;9299;9629
com._madina_wandifa;12205;12612;13034;13473;13930;14405;14900;15414;15949;16507;17086;17690;18317
com._n.diamacouta;7179;7418;7667;7925;8194;8473;8764;9067;9381;9709;10050;10405;10774
arrondissement_boghal;51602;53323;55108;56964;58895;60904;62995;65170;67433;69789;72240;74791;77443
cr.__n.diamalathiel;14688;15178;15686;16214;16764;17336;17931;18550;19194;19865;20563;21289;22043
cr.__boghal;12551;12969;13404;13855;14325;14814;15322;15851;16402;16975;17571;18191;18836
cr.__tankon;20700;21390;22106;22851;23626;24432;25270;26143;27051;27996;28979;30002;31066
cr.__djinany;3663;3785;3912;4044;4181;4323;4472;4626;4787;4954;5128;5309;5497
arrondissement_bona;26506;27390;28307;29260;30252;31284;32358;33475;34638;35848;37107;38417;39780
cr.__bona;8833;9128;9433;9751;10081;10425;10783;11155;11543;11946;12366;12802;13256
cr.__diacounda;7405;7652;7908;8174;8452;8740;9040;9352;9677;10015;10367;10733;11113
cr.__inor;8633;8921;9219;9530;9853;10189;10539;10903;11282;11676;12086;12513;12956
