"";"tmc_log";"tmc_racine_n"
"cr.__darou_salam__typ";0,0312763138102182;0,0317705569565228
"cr.__kael";0,0312831270373925;0,0317775866676666
"cr.__madina";0,0312845641703495;0,0317790694703062
"cr.__n.dioumane__t._thiekene";0,0312848651644222;0,031779380029737
"cr.__touba__m.boul";0,0312818659951637;0,0317762855533794
"cr.__darou_nahim";0,0312774482925447;0,0317717274826486
"cr.__taiba_tieckene";0,0312903563246857;0,031785045711225
"arrondissement_ndame";0,0312809909153854;0,0317753826672111
"cr.__dalla_n.gabou";0,031283783770254;0,0317782642701359
"cr.__missirah";0,0312834913818231;0,0317779625901524
"cr.__n.ghaye";0,0312815001892384;0,0317759081235696
"cr.__touba_fall_";0,0312798072838402;0,0317741614260434
"cr.__touba_mosquee";0,031280942303022;0,0317753325101726
"arrondissement_taif";0,0312815769899415;0,0317759873646879
"cr.__sadio";0,0312819423491642;0,0317763643336295
"cr.__taif";0,0312793792127323;0,0317737197534296
"region_fatick";0,0340342161363095;0,0346200068216691
"zoneurbaine_fatick";0,0485089887926606;0,0497048073567861
"zonerurale_fatick";0,0310906418408544;0,0315790038688508
"departement_fatick";0,0340342095248764;0,0346199999813481
"com._fatick";0,0340339928249853;0,0346197757793312
"com._diofior";0,0340339581894291;0,0346197399447004
"com._diakhao";0,0340284221324017;0,0346140122466729
"arrondissement_ndiob";0,0340338341447835;0,0346196116056694
"cr.__diaoule";0,0340333614085262;0,0346191225035821
"cr.__mbelacadiao";0,0340356422904397;0,0346214823503173
"cr.__ndiob";0,0340336514326658;0,0346194225681464
"cr.__thiare__ndialgui";0,0340341949990596;0,0346199849526478
"arrondissement_fimela";0,0340339449989486;0,0346197262975689
"cr.__fimela";0,0340350342775319;0,0346208532872925
"cr.__loul_sessene";0,0340342181948268;0,0346200089514523
"cr.__palmarin_facao";0,0340356904000135;0,034621532125517
"cr.__djilasse";0,0340317426754399;0,0346174477327323
"arondissement_niakhar";0,0340340921543945;0,0346198785475074
"cr.__ngayokheme";0,0340336465832463;0,0346194175508427
"cr.__niakhar";0,0340345959944162;0,0346203998305408
"cr.__patar.1";0,0340350537742169;0,0346208734589697
"arondissement_tattaguine";0,0340339203908925;0,034619700837589
"cr.__diarere";0,0340345910529715;0,0346203947180213
"cr.__diouroup";0,0340337113778855;0,034619484588637
