"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmsle";"rmse"
"51";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"70.0";2,71;29,04
"52";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"60.0";2,71;29,04
"53";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"65.0";2,71;29,04
"54";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"70.0";2,71;29,04
"55";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"60.0";2,71;29,02
"56";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"65.0";2,71;29,02
"57";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"70.0";2,71;29,02
"58";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"60.0";2,71;29,02
"59";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"65.0";2,71;29,02
"60";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"70.0";2,71;29,02
"61";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"60.0";2,71;29,02
"62";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"65.0";2,71;29,02
"63";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"70.0";2,71;29,03
"64";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"60.0";2,71;29,04
"65";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"65.0";2,71;29,04
"66";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"70.0";2,71;29,04
"67";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"60.0";2,71;29,04
"68";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"65.0";2,71;29,04
