"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmse";"rmsle"
"51";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"70.0";15,1;1,37
"52";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"60.0";15,1;1,37
"53";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"65.0";15,1;1,37
"54";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"70.0";15,1;1,37
"55";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"60.0";15,08;1,37
"56";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"65.0";15,08;1,37
"57";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"70.0";15,08;1,37
"58";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"60.0";15,08;1,37
"59";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"65.0";15,08;1,37
"60";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"70.0";15,08;1,37
"61";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"60.0";15,08;1,37
"62";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"65.0";15,08;1,37
"63";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"70.0";15,08;1,37
"64";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"60.0";15,1;1,37
"65";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"65.0";15,1;1,37
"66";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"70.0";15,1;1,37
"67";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"60.0";15,1;1,37
"68";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"65.0";15,1;1,37
"69";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"70.0";15,1;1,37
"70";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"60.0";15,1;1,37
"71";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"65.0";15,1;1,37
"72";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"70.0";15,1;1,37
"73";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"60.0";15,32;1,33
"74";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"65.0";15,32;1,33
"75";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"70.0";15,32;1,33
"76";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"60.0";15,32;1,33
"77";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"65.0";15,32;1,33
"78";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"70.0";15,32;1,33
"79";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"60.0";15,32;1,33
"80";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"65.0";15,32;1,33
"81";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"70.0";15,31;1,33
"82";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"60.0";15,32;1,33
"83";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"65.0";15,32;1,33
"84";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"70.0";15,32;1,33
"85";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"60.0";15,32;1,33
"86";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"65.0";15,32;1,33
"87";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"70.0";15,32;1,33
"88";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"60.0";15,31;1,33
"89";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"65.0";15,32;1,33
"90";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"70.0";15,32;1,33
"91";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"60.0";15,11;1,34
"92";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"65.0";15,11;1,34
"93";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"70.0";15,11;1,34
"94";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"60.0";15,11;1,34
"95";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"65.0";15,11;1,34
"96";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"70.0";15,11;1,34
"97";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"60.0";15,11;1,34
"98";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"65.0";15,11;1,34
"99";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"9.0";"70.0";15,11;1,34
"100";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"60.0";15,12;1,34
"101";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"65.0";15,12;1,34
"102";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"true";"12.0";"70.0";15,12;1,34
