"";"expCoeff";"penteInfCoeff";"distrouteCoeff";"ratioliste";"voisUrbCoef";"routesCoef";"route_vois";"popHaIrrig";"popHaUrb";"rmse";"rmsle"
"51";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"15.0";"70.0";13,94;1,34
"52";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"60.0";13,94;1,34
"53";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"65.0";13,94;1,34
"54";"0.0";"3.0";"0.0";"0.2";"0.0";"6.0";"true";"9.0";"70.0";13,94;1,34
"55";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"60.0";13,94;1,34
"56";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"65.0";13,94;1,34
"57";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"12.0";"70.0";13,94;1,34
"58";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"60.0";13,94;1,34
"59";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"65.0";13,94;1,34
"60";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"15.0";"70.0";13,94;1,34
"61";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"60.0";13,94;1,34
"62";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"65.0";13,94;1,34
"63";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"false";"9.0";"70.0";13,95;1,34
"64";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"60.0";13,94;1,34
"65";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"65.0";13,94;1,34
"66";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"12.0";"70.0";13,94;1,34
"67";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"60.0";13,94;1,34
"68";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"65.0";13,94;1,34
"69";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"15.0";"70.0";13,94;1,34
"70";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"60.0";13,94;1,34
"71";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"65.0";13,94;1,34
"72";"0.0";"3.0";"0.0";"0.2";"0.0";"9.0";"true";"9.0";"70.0";13,94;1,34
"73";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"60.0";13,92;1,34
"74";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"65.0";13,91;1,34
"75";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"12.0";"70.0";13,92;1,34
"76";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"60.0";13,91;1,34
"77";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"65.0";13,91;1,34
"78";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"15.0";"70.0";13,91;1,34
"79";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"60.0";13,91;1,34
"80";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"65.0";13,91;1,34
"81";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"false";"9.0";"70.0";13,91;1,34
"82";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"60.0";13,91;1,34
"83";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"65.0";13,91;1,34
"84";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"12.0";"70.0";13,91;1,34
"85";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"60.0";13,92;1,34
"86";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"65.0";13,91;1,34
"87";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"15.0";"70.0";13,92;1,34
"88";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"60.0";13,91;1,34
"89";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"65.0";13,91;1,34
"90";"0.0";"3.0";"0.0";"0.2";"3.0";"0.0";"true";"9.0";"70.0";13,91;1,34
"91";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"60.0";13,91;1,34
"92";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"65.0";13,91;1,34
"93";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"12.0";"70.0";13,9;1,34
"94";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"60.0";13,9;1,34
"95";"0.0";"3.0";"0.0";"0.2";"3.0";"3.0";"false";"15.0";"65.0";13,9;1,34
