"date";"stations";"piezostation"
2008-07-11;"THIAMBENE-TEUREUL";0
2008-07-11;"DGPZ120";1,972
2008-07-11;"DGPZ119";3,031
2008-07-11;"DGPZ118";3,96
2008-07-11;"DGPZ049";2,867
2008-07-11;"DGPZ045";2,446
2008-07-11;"DGPZ051";4,34
2008-07-11;"DGPZ114";1,809
2008-07-11;"DGPZ115";2,53
2008-07-11;"DGPZ046";3,869
2008-07-11;"DGPZ113";2,768
2008-07-11;"DGPZ116";3,515
2008-07-11;"DGPZ050";5,1
2008-07-11;"DGPZ110";2,027
2008-07-11;"DGPZ111";2,263
2008-07-11;"DGPZ042";4,004
2008-07-11;"DGPZ112";3,256
2008-07-11;"DGPZ038";3,688
2008-07-11;"DGPZ043";5,085
2008-07-11;"DGPZ109";2,799
2008-07-11;"DGPZ041";4,975
2008-07-11;"DGPZ039";5,094
2008-07-11;"DGPZ044";5,821
2008-07-11;"DGPZ040";5,615
2008-07-11;"DGPZ037";5,544
2008-07-11;"TAWA FALL";0
2008-07-11;"FASS BOYE Pz";0
2008-07-11;"SANTHIOU SINE ICS62";16,21
2008-07-11;"NDEUNE";0
2008-07-11;"TAIBA NDIAYE Pt";0
2008-07-11;"KAYAR PS7";0,04
2008-07-21;"THIAMBENE-TEUREUL";0
2008-07-21;"DGPZ120";1,972
2008-07-21;"DGPZ119";3,031
2008-07-21;"DGPZ118";3,96
2008-07-21;"DGPZ049";2,867
2008-07-21;"DGPZ045";2,446
2008-07-21;"DGPZ051";4,34
2008-07-21;"DGPZ114";1,809
2008-07-21;"DGPZ115";2,53
2008-07-21;"DGPZ046";3,869
2008-07-21;"DGPZ113";2,768
2008-07-21;"DGPZ116";3,515
2008-07-21;"DGPZ050";5,1
2008-07-21;"DGPZ110";2,027
2008-07-21;"DGPZ111";2,263
2008-07-21;"DGPZ042";4,004
2008-07-21;"DGPZ112";3,256
2008-07-21;"DGPZ038";3,688
2008-07-21;"DGPZ043";5,085
2008-07-21;"DGPZ109";2,799
2008-07-21;"DGPZ041";4,975
2008-07-21;"DGPZ039";5,094
2008-07-21;"DGPZ044";5,821
2008-07-21;"DGPZ040";5,615
2008-07-21;"DGPZ037";5,544
2008-07-21;"TAWA FALL";0
2008-07-21;"FASS BOYE Pz";0
2008-07-21;"SANTHIOU SINE ICS62";16,21
2008-07-21;"NDEUNE";0
2008-07-21;"TAIBA NDIAYE Pt";0
2008-07-21;"KAYAR PS7";0,04
2008-08-01;"THIAMBENE-TEUREUL";0
2008-08-01;"DGPZ120";2,132
2008-08-01;"DGPZ119";3,131
2008-08-01;"DGPZ118";3,95
2008-08-01;"DGPZ049";2,857
2008-08-01;"DGPZ045";2,466
2008-08-01;"DGPZ051";4,32
2008-08-01;"DGPZ114";1,849
2008-08-01;"DGPZ115";2,53
2008-08-01;"DGPZ046";3,859
2008-08-01;"DGPZ113";2,758
2008-08-01;"DGPZ116";3,485
2008-08-01;"DGPZ050";5,08
2008-08-01;"DGPZ110";2,027
2008-08-01;"DGPZ111";2,283
2008-08-01;"DGPZ042";3,984
2008-08-01;"DGPZ112";3,236
2008-08-01;"DGPZ038";3,668
2008-08-01;"DGPZ043";5,065
2008-08-01;"DGPZ109";2,789
2008-08-01;"DGPZ041";4,955
2008-08-01;"DGPZ039";5,064
2008-08-01;"DGPZ044";5,811
2008-08-01;"DGPZ040";5,605
2008-08-01;"DGPZ037";5,514
2008-08-01;"TAWA FALL";0
2008-08-01;"FASS BOYE Pz";0
2008-08-01;"SANTHIOU SINE ICS62";16,21
2008-08-01;"NDEUNE";0
2008-08-01;"TAIBA NDIAYE Pt";0
2008-08-01;"KAYAR PS7";0,04
2008-08-11;"THIAMBENE-TEUREUL";0
2008-08-11;"DGPZ120";2,132
2008-08-11;"DGPZ119";3,131
2008-08-11;"DGPZ118";3,95
2008-08-11;"DGPZ049";2,857
2008-08-11;"DGPZ045";2,466
2008-08-11;"DGPZ051";4,32
2008-08-11;"DGPZ114";1,849
2008-08-11;"DGPZ115";2,53
2008-08-11;"DGPZ046";3,859
2008-08-11;"DGPZ113";2,758
2008-08-11;"DGPZ116";3,485
2008-08-11;"DGPZ050";5,08
2008-08-11;"DGPZ110";2,027
2008-08-11;"DGPZ111";2,283
2008-08-11;"DGPZ042";3,984
2008-08-11;"DGPZ112";3,236
2008-08-11;"DGPZ038";3,668
2008-08-11;"DGPZ043";5,065
2008-08-11;"DGPZ109";2,789
2008-08-11;"DGPZ041";4,955
2008-08-11;"DGPZ039";5,064
2008-08-11;"DGPZ044";5,811
2008-08-11;"DGPZ040";5,605
2008-08-11;"DGPZ037";5,514
2008-08-11;"TAWA FALL";0
2008-08-11;"FASS BOYE Pz";0
2008-08-11;"SANTHIOU SINE ICS62";16,21
2008-08-11;"NDEUNE";0
2008-08-11;"TAIBA NDIAYE Pt";0
2008-08-11;"KAYAR PS7";0,04
2008-08-21;"THIAMBENE-TEUREUL";0
2008-08-21;"DGPZ120";2,132
2008-08-21;"DGPZ119";3,131
2008-08-21;"DGPZ118";3,95
2008-08-21;"DGPZ049";2,857
2008-08-21;"DGPZ045";2,466
2008-08-21;"DGPZ051";4,32
2008-08-21;"DGPZ114";1,849
2008-08-21;"DGPZ115";2,53
2008-08-21;"DGPZ046";3,859
2008-08-21;"DGPZ113";2,758
2008-08-21;"DGPZ116";3,485
2008-08-21;"DGPZ050";5,08
2008-08-21;"DGPZ110";2,027
2008-08-21;"DGPZ111";2,283
2008-08-21;"DGPZ042";3,984
2008-08-21;"DGPZ112";3,236
2008-08-21;"DGPZ038";3,668
2008-08-21;"DGPZ043";5,065
2008-08-21;"DGPZ109";2,789
2008-08-21;"DGPZ041";4,955
2008-08-21;"DGPZ039";5,064
2008-08-21;"DGPZ044";5,811
2008-08-21;"DGPZ040";5,605
2008-08-21;"DGPZ037";5,514
2008-08-21;"TAWA FALL";0
2008-08-21;"FASS BOYE Pz";0
2008-08-21;"SANTHIOU SINE ICS62";16,21
2008-08-21;"NDEUNE";0
2008-08-21;"TAIBA NDIAYE Pt";0
2008-08-21;"KAYAR PS7";0,04
2008-09-01;"THIAMBENE-TEUREUL";0
2008-09-01;"DGPZ120";2,232
2008-09-01;"DGPZ119";3,191
2008-09-01;"DGPZ118";3,94
2008-09-01;"DGPZ049";2,927
2008-09-01;"DGPZ045";2,536
2008-09-01;"DGPZ051";4,31
2008-09-01;"DGPZ114";1,969
2008-09-01;"DGPZ115";2,57
2008-09-01;"DGPZ046";3,839
