"";"producteur_ID";"saison";"culture_label.x";"sup_emblavee_ha";"quant_semence_kg";"quant_uree_kg";"quant_npk_kg";"capital";"cluster";"suptotculmen";"capital_spatialise";"quant_eau";"eau_culture";"cumul_superficie";"surf_verger";"pourcent_emblavee";"sup_non_ajust";"production_kg";"prix_kg_semence";"prix_kg_npk";"prix_kg_uree";"qte_kg_engrais_org";"prix_kg_engrais_org";"qte_kg_insect";"prix_insect";"qte_kg_fong";"prix_fong";"qte_kg_herb";"prix_herb";"charges_tot";"charge_transport_semence";"charge_transport_engrais";"autres_charges_intr";"prix_vente_indiv";"quant_vend_indiv";"cout_sac";"cout_for_sac";"cout_transport";"cout_stockage";"quant_stockage";"estim_depense_non_alimen";"culture_label.y";"cout_eau_irrig";"cout_carbur_irrig";"cout_elect_irrig";"depense_achat_alimen";"rev_tot_elev";"montant_transfert";"montant_rev_nonagri"
"18";1804;"csc";"tomate";0,5;0,8;250;100;16;3;6,28;0;272,92;14,04;1;5,28;50;0,5;6300;NA;230;240;NA;NA;1;6000;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;"6_9_11";NA;420000;NA;149350;50000;NA;NA
"19";1804;"csf";"carotte";0,52;2;350;0;16;3;6,28;0;238,13;44,77;5,03;1;9,93;0,5;15360;NA;NA;240;4000;400;1;7000;NA;NA;10;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15000;"6_9_11";NA;420000;NA;149350;50000;NA;NA
"20";1804;"csf";"chou";4,72;3,4;500;0;16;3;6,28;0;238,13;149,37;5,03;1;90,07;4,53;40800;NA;NA;240;4000;400;1;7000;NA;NA;3;3333,33325195312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125000;"6_9_11";NA;420000;NA;149350;50000;NA;NA
"21";1808;"csc";"aubergine_amere";0,4;0,4;50;0;4;3;3,4;601000;107,67;28,6;1;2,4;40;0,4;3300;NA;NA;260;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_9_other";NA;144000;NA;26000;2e+05;240000;NA
"22";1808;"csc";"chou";0,6;0,2;50;50;4;3;3,4;601000;107,67;23,13;1;2,4;60;0,6;4000;NA;250;260;NA;NA;1;3000;7;2500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;"1_3_9_other";NA;144000;NA;26000;2e+05;240000;NA
"23";1808;"csf";"oignon";0,5;1;50;100;4;3;3,4;601000;107,67;22,33;1,5;1,9;33,33;0,5;5500;NA;500;260;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_9_other";NA;144000;NA;26000;2e+05;240000;NA
"24";1808;"csf";"tomate";0,5;0,2;50;0;4;3;3,4;601000;107,67;14,33;1,5;1,9;33,33;0,5;4200;NA;NA;260;NA;NA;1;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_9_other";NA;144000;NA;26000;2e+05;240000;NA
"25";1808;"csf";"chou";0,5;0,4;50;50;4;3;3,4;601000;107,67;19,28;1,5;1,9;33,33;0,5;4500;NA;250;260;NA;NA;1;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;"1_3_9_other";NA;144000;NA;26000;2e+05;240000;NA
"26";1816;"csc";"chou";1,5;0,6;200;250;1;3;1,5;0;185,94;185,94;1,5;0;100;1,5;8400;NA;250;250;8000;400;10;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;51000;"";NA;360000;NA;145000;NA;NA;NA
"27";1817;"csc";"chou";2,5;1;100;150;1;3;9,5;2336500;642,55;130,04;5;4,5;50;2,5;27000;NA;250;250;NA;NA;8;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"28";1817;"csc";"carotte";2;4;150;150;1;3;9,5;2336500;642,55;282,69;5;4,5;40;2;4800;NA;250;250;NA;NA;5;2400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;130000;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"29";1817;"csc";"tomate";0,5;0,4;50;100;1;3;9,5;2336500;642,55;19,34;5;4,5;10;0,5;600;NA;250;250;NA;NA;3;4166,66650390625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"30";1817;"csf";"tomate";0,5;0,4;100;100;1;3;9,5;2336500;446,86;13,45;3;6,5;16,67;0,5;2100;NA;250;250;2000;400;2;6000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"31";1817;"csf";"carotte";0,5;1,6;50;100;1;3;9,5;2336500;446,86;49,15;3;6,5;16,67;0,5;1200;NA;250;250;1500;400;3;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;130000;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"32";1817;"csf";"oignon";2;7,5;150;200;1;3;9,5;2336500;446,86;83,79;3;6,5;66,67;2;8000;NA;250;250;4000;400;2;5500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000;"1_3_6_other";NA;1890000;NA;211500;NA;NA;NA
"33";1840;"csf";"chou";2;1,5;200;150;1;3;3;521900;153,33;104,77;2;1;100;2;9600;NA;250;250;8000;400;6;1833,33337402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1500;"9";NA;252000;NA;54100;332000;NA;20000
"34";1842;"csc";"tomate";0,5;0,5;50;100;9;3;6;0;120,71;16,14;1;5;50;0,5;3850;NA;480;240;NA;NA;7;5000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;"1_2";NA;150000;NA;26000;NA;NA;NA
"35";1842;"csc";"chou";0,5;0,9;350;350;9;3;6;0;120,71;21,7;1;5;50;0,5;6000;NA;309;309;NA;NA;1;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_2";NA;150000;NA;26000;NA;NA;NA
"36";1842;"csf";"oignon";1;1,5;100;100;9;3;6;0;133,76;55,71;1,8;4,2;55,56;1;15000;NA;480;480;NA;NA;1;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;"1_2";NA;150000;NA;26000;NA;NA;NA
"37";1842;"csf";"pomme_de_terre";0,8;200;150;150;9;3;6;0;133,76;36,12;1,8;4,2;44,44;0,8;7500;NA;240;240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8000;"1_2";NA;150000;NA;26000;NA;NA;NA
"38";1844;"csc";"chou";3,5;1;500;400;4;3;9,5;0;172,9;62,23;3,5;6;100;3,5;30000;NA;250;250;12000;400;10;1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18000;"1_2_9";NA;378000;NA;174750;530000;1200000;1644000
"39";1844;"csf";"pomme_de_terre";1,5;175;350;300;4;3;9,5;0;165,07;23,9;6;3,5;25;1,5;8000;NA;250;250;8000;400;6;1833,33337402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_2_9";NA;378000;NA;174750;530000;1200000;1644000
"40";1844;"csf";"chou";2,5;0,8;500;400;4;3;9,5;0;165,07;42,44;6;3,5;41,67;2,5;18000;NA;250;250;12000;400;8;1375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18000;"1_2_9";NA;378000;NA;174750;530000;1200000;1644000
"41";1844;"csf";"oignon";2;5;300;250;4;3;9,5;0;165,07;39,32;6;3,5;33,33;2;16000;NA;250;250;10000;400;6;1833,33337402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1_2_9";NA;378000;NA;174750;530000;1200000;1644000
"42";1845;"csc";"tomate";1;0,2;150;50;1;3;3;1962000;142,46;18,43;1;2;100;1;10200;NA;240;240;1600;400;NA;NA;NA;NA;4;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000;"6_12";NA;220000;NA;56500;NA;NA;NA
"43";1845;"csf";"aubergine_amere";0,5;0,6;200;50;1;3;3;1962000;107,67;17,37;2;1;25;0,5;7520;NA;240;240;1200;400;NA;NA;NA;NA;3;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;"6_12";NA;220000;NA;56500;NA;NA;NA
"44";1845;"csf";"carotte";1,5;1,6;100;50;1;3;3;1962000;107,67;76,37;2;1;75;1,5;0;NA;240;240;2000;400;NA;NA;NA;NA;1;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6_12";NA;220000;NA;56500;NA;NA;NA
"45";1847;"csc";"aubergine_amere";0,5;0,4;0;100;1;1;1;170000;77,23;47,54;0,5;0,5;100;0,5;5390;NA;270;NA;NA;NA;2;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18000;"1";NA;70000;NA;10000;NA;NA;NA
"46";1847;"csf";"oignon";0,5;1;0;0;1;1;1;170000;75,05;28,86;0,5;0,5;100;0,5;5500;NA;NA;NA;2500;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;"1";NA;70000;NA;10000;NA;NA;NA
"47";1849;"csc";"piment";0,25;0,3;175;175;16;3;12,25;1710000;172,9;6,85;6,25;6;4;0,25;800;NA;250;250;2500;400;4;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32500;"9_18_other";NA;378000;NA;186500;NA;NA;NA
"48";1849;"csc";"chou";6;3;750;1000;16;3;12,25;1710000;172,9;83,1;6,25;6;96;6;42000;NA;250;250;500;400;3;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9_18_other";NA;378000;NA;186500;NA;NA;NA
"49";1849;"csf";"piment";0,5;0,8;350;350;16;3;12,25;1710000;165,07;13,08;5,5;6,75;9,09;0,5;3600;NA;250;250;5000;400;8;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;32500;"9_18_other";NA;378000;NA;186500;NA;NA;NA
"50";1849;"csf";"chou";5;3;750;1000;16;3;12,25;1710000;165,07;66,12;5,5;6,75;90,91;5;36000;NA;250;250;500;400;10;1200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"9_18_other";NA;378000;NA;186500;NA;NA;NA
"51";1850;"csc";"chou";0,25;0,3;150;100;9;3;2,5;0;142,46;7,78;0,5;2;50;0,25;1900;NA;240;250;440;400;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6_9_12";NA;2e+05;NA;93500;3e+05;550000;NA
"52";1850;"csc";"tomate";0,25;0,2;150;50;9;3;2,5;0;142,46;5,78;0,5;2;50;0,25;902;NA;240;250;200;400;NA;NA;NA;NA;2;3500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7500;"6_9_12";NA;2e+05;NA;93500;3e+05;550000;NA
"53";1850;"csf";"carotte";1;1,6;150;200;9;3;2,5;0;133,76;79,36;2;0,5;50;1;14320;NA;240;250;440;400;NA;NA;NA;NA;13;5142,85693359375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6_9_12";NA;2e+05;NA;93500;3e+05;550000;NA
"54";1850;"csf";"aubergine_amere";0,5;0,6;50;50;9;3;2,5;0;133,76;27,07;2;0,5;25;0,5;6120;NA;240;250;240;400;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11000;"6_9_12";NA;2e+05;NA;93500;3e+05;550000;NA
"55";1850;"csf";"chou";0,5;0,3;150;50;9;3;2,5;0;133,76;14,6;2;0,5;25;0,5;6550;NA;240;250;350;400;1;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6_9_12";NA;2e+05;NA;93500;3e+05;550000;NA
"56";1854;"csc";"chou";0,5;0,2;0;100;0;2;1;0;88,1;40,82;0,5;0,5;100;0,5;4400;NA;270;NA;NA;NA;2;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26000;"1";NA;105000;NA;13500;NA;NA;NA
"57";1854;"csf";"oignon";0,5;1;0;100;0;2;1;0;72,44;38,88;0,5;0,5;100;0,5;5500;NA;140;NA;1000;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65000;"1";NA;105000;NA;13500;NA;NA;NA
"58";1858;"csf";"chou";2;0,6;250;250;9;3;4;912400;102,45;52,84;4;0;50;2;12000;NA;250;250;10000;400;10;1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000;"2_9";NA;NA;NA;61500;26000;NA;180000
"59";1858;"csf";"pomme_de_terre";2;555,56;250;400;9;3;4;912400;102,45;49,61;4;0;50;2;3000;NA;250;250;8000;400;5;2200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;"2_9";NA;NA;NA;61500;26000;NA;180000
"60";1859;"csc";"chou";0,15;0,3;50;0;4;4;0,5;0;72,88;17,15;0,25;0,25;60;0,15;1500;NA;NA;240;NA;NA;1;3000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;"1";NA;42000;NA;13000;NA;NA;1200000
